;ALBERT, R;ALBERT, I;NAKARADO, G;BARABASI, A;JEONG, H;ALEKSIEJUK, A;HOLYST, J;STAUFFER, D;ALLARIA, E;ARECCHI, F;DIGARBO, A;MEUCCI, R;ALMAAS, E;KOVACS, B;VICSEK, T;OLTVAI, Z;KRAPIVSKY, P;REDNER, S;KULKARNI, R;STROUD, D;AMARAL, L;SCALA, A;BARTHELEMY, M;STANLEY, H;ANCELMEYERS, L;NEWMAN, M;MARTIN, M;SCHRAG, S;ANTAL, T;ARENAS, A;CABRALES, A;DIAZGUILERA, A;GUIMERA, R;VEGAREDONDO, F;DANON, L;GLEISER, P;BAIESI, M;PACZUSKI, M;BAK, P;SNEPPEN, K;BANAVAR, J;MARITAN, A;RINALDO, A;BIANCONI, G;RAVASZ, E;NEDA, Z;SCHUBERT, A;BARAHONA, M;PECORA, L;BARRAT, A;PASTORSATORRAS, R;VESPIGNANI, A;WEIGT, M;GONDRAN, B;GUICHARD, E;BATTISTON, S;CATANZARO, M;BENNAIM, E;FRAUENFELDER, H;TOROCZKAI, Z;BERLOW, E;BERNARDES, A;COSTA, U;ARAUJO, A;KERTESZ, J;CAPOCCI, A;BOCCALETTI, S;BRAGARD, J;MANCINI, H;KURTHS, J;VALLADARES, D;OSIPOV, G;ZHOU, C;PELAEZ, A;MAZA, D;BOGUNA, M;BONANNO, G;LILLO, F;MANTEGNA, R;MENDOZA, C;HENTSCHEL, H;BRODER, A;KUMAR, R;MAGHOUL, F;RAGHAVAN, P;RAJAGOPALAN, S;STATA, R;TOMKINS, A;WIENER, J;BUCOLO, M;FORTUNA, L;LAROSA, M;BUHL, J;GAUTRAIS, J;SOLE, R;KUNTZ, P;VALVERDE, S;DENEUBOURG, J;THERAULAZ, G;CALDARELLI, G;DELOSRIOS, P;MUNOZ, M;COCCETTI, F;CALLAWAY, D;HOPCROFT, J;KLEINBERG, J;STROGATZ, S;WATTS, D;CAMACHO, J;SERVEDIO, V;COLAIORI, F;CARUSO, F;LATORA, V;RAPISARDA, A;TADIC, B;CASTELLANO, C;VILONE, D;CHATE, H;PIKOVSKY, A;RUDZICK, O;CHAVEZ, M;HWANG, D;AMANN, A;CLAUSET, A;MOORE, C;COHEN, R;BENAVRAHAM, D;HAVLIN, S;EREZ, K;COSENZA, S;CRUCITTI, P;FRASCA, M;STAGNI, C;USAI, L;MARCHIORI, M;PORTA, S;DAFONTOURACOSTA, L;DIAMBRA, L;DEARCANGELIS, L;HERRMANN, H;DEFRAYSSEIX, H;DELUCIA, M;BOTTACCIO, M;MONTUORI, M;PIETRONERO, L;DEMENEZES, M;MOUKARZEL, C;PENNA, T;DEMOURA, A;MOTTER, A;GREBOGI, C;DEZSO, Z;DOBRIN, R;BEG, Q;DODDS, P;MUHAMAD, R;ROTHMAN, D;SABEL, C;DONETTI, L;DOROGOVTSEV, S;GOLTSEV, A;MENDES, J;SAMUKHIN, A;DUNNE, J;WILLIAMS, R;MARTINEZ, N;ECHENIQUE, P;GOMEZGARDENES, J;MORENO, Y;VAZQUEZ, A;ERGUN, G;RODGERS, G;ERIKSEN, K;SIMONSEN, I;MASLOV, S;FARKAS, I;DERENYI, I;FERRERICANCHO, R;JANSSEN, C;KOHLER, R;FINK, K;JOHNSON, G;CARROLL, T;FLAKE, G;LAWRENCE, S;GILES, C;COETZEE, F;SPATA, A;FORTUNATO, S;FRONCZAK, A;FRONCZAK, P;JEDYNAK, M;SIENKIEWICZ, J;GARLASCHELLI, D;CASTRI, M;LOFFREDO, M;GASTNER, M;GIRVAN, M;GOH, K;GHIM, C;KAHNG, B;KIM, D;LEE, D;OH, E;FLORIA, L;GONZALES, M;SOUSA, A;GORMAN, S;GREGOIRE, G;GROSS, J;KUJALA, J;HAMALAINEN, M;TIMMERMANN, L;SCHNITZLER, A;SALMELIN, R;GUARDIOLA, X;LLAS, M;PEREZ, C;GIRALT, F;MOSSA, S;TURTSCHI, A;HARI, R;ILMONIEMI, R;KNUUTILA, J;LOUNASMAA, O;HEAGY, J;HERRMANN, C;PROVERO, P;HONG, D;ROUX, S;HOLME, P;EDLING, C;LILJEROS, F;GHOSHAL, G;HUSS, M;KIM, B;YOON, C;HAN, S;TRUSINA, A;MINNHAGEN, P;HOLTER, N;MITRA, M;CIEPLAK, M;FEDROFF, N;HONG, H;CHOI, M;PARK, H;LOPEZRUIZ, R;MASON, S;TOMBOR, B;JIN, E;JUNG, S;KIM, S;PARK, Y;KALAPALA, V;SANWALANI, V;CHUNG, J;KIM, J;KINNEY, R;KUMAR, S;LEYVRAZ, F;SIVAKUMAR, D;UPFAL, E;LAHTINEN, J;KASKI, K;LEONE, M;ZECCHINA, R;ABERG, Y;LIU, Z;LAI, Y;HOPPENSTEADT, F;YE, N;LUSSEAU, D;MACDONALD, P;RIGON, R;GIACOMETTI, A;RODRIGUEZITURBE, I;MARODI, M;DOVIDIO, F;MARRO, J;DICKMAN, R;ZALIZNYAK, A;MATTHEWS, P;MIROLLO, R;VALLONE, A;MONTOYA, J;MOREIRA, A;ANDRADE, J;GOMEZ, J;PACHECO, A;NEKOVEE, M;VAZQUEZPRADA, M;DASGUPTA, P;NISHIKAWA, T;FORREST, S;BALTHROP, J;LEICHT, E;RHO, K;ONNELA, J;CHAKRABORTI, A;KANTO, A;JARISARAMAKI, J;ROSENBLUM, M;BASSLER, K;CORRAL, A;PARK, J;RUBI, M;SMITH, E;PENNOCK, D;GLOVER, E;PETERMANNN, T;PLUCHINO, A;PODANI, J;SZATHMARY, E;PORTER, M;MUCHA, P;WARMBRAND, C;RADICCHI, F;CECCONI, F;LORETO, V;PARISI, D;RAMASCO, J;SOMERA, A;MONGRU, D;DARBYDOWMAN, K;ROSVALL, M;ROZENFELD, A;SCHAFER, C;ABEL, H;SCHWARTZ, N;SHEFI, O;GOLDING, I;SEGEV, R;BENJACOB, E;AYALI, A;SOFFER, S;KEPLER, T;SALAZARCIUDAD, I;GARCIAFERNANDEZ, J;SONG, C;MAKSE, H;AHARONY, A;ADLER, J;MEYERORTMANNS, H;SZABO, G;ALAVA, M;THURNER, S;TASS, P;WEULE, M;VOLKMANN, J;FREUND, H;TIERI, P;VALENSIN, S;CASTELLANI, G;REMONDINI, D;FRANCESCHI, C;KOZMA, B;HENGARTNER, N;KORNISS, G;TORRES, J;GARRIDO, P;CANCHO, R;VANNUCCHI, F;FLAMMINI, A;VAZQUEZ, F;CZIROK, A;COHEN, I;SHOCHET, O;VRAGOVIC, I;LOUIS, E;WUCHTY, S;YEUNG, M;YOOK, S;TU, Y;YUSONG, T;LINGJIANG, K;MUREN, L;ZAKS, M;PARK, E
ALBERT, R;0;0.5;0.5;3.58333;1.58333;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALBERT, I;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAKARADO, G;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARABASI, A;3.58333;0;0;0;4.225;0;0;0;0;0;0;0;0.75;0.25;1.85833;2.99167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33333;2.275;1.025;0.525;0;0;0;0;0;0;0;0;0;0;0;0;0;0.583333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;0.333333;0.333333;0;0;0;0;0;0;0;0;0;0.583333;0.583333;0.25;0;0;0;0;0;0;0;0;0;0.708333;0.458333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.33333;0.333333;0;0;0;0;0
JEONG, H;1.58333;0;0;4.225;0;0;0;0;0;0;0;0;0;0;0.775;1.15833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0.525;1.025;0.525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.375;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;1.25;0.25;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.5;0.333333;0.333333;0.333333;0;0;0;0;0;0;0;0;0;0;0.333333;0.45;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333;0.333333;0;0;0;0;0
ALEKSIEJUK, A;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HOLYST, J;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333;0.5;0.333333;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAUFFER, D;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333;0.333333;0.333333;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33333;0.333333;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLARIA, E;0;0;0;0;0;0;0;0;0;0.333333;0.333333;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARECCHI, F;0;0;0;0;0;0;0;0;0.333333;0;0.333333;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0.333333;0.333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
