;Wiley Post-Will Rogers Mem;Deadhorse;Ralph Wien Memorial;Fairbanks Intl;Nome;St Mary's;Aniak;Anchorage Intl;Tuluksak;Akiachak;Akiak;Kwethluk;Bethel;Napaskiak;Napakiak;Merle K (Mudhole) Smith;Tuntutuliak;Eek;Kongiganak;Kwigillingok;Quinhagak;Yakutat;Dillingham;King Salmon;Gustavus;Juneau Intl;Kodiak;St Paul Island;Sitka;Port Heiden;James A Johnson Petersburg;Wrangell;Ketchikan Intl;Sand Point;Cold Bay;Unalaska;Eareckson As;Adak Naf;Bellingham Intl;Glacier Park Intl;Minot Intl;William R Fairchild Intl;Grand Forks Afb;Grand Forks Intl;Spokane Intl;Great Falls Intl;Seattle-Tacoma Intl;Pangborn Memorial;Grant County;Missoula Intll;Hector Intll;Duluth Intl;Bismarck Muni;Pullman/Moscow Regional;Helena Regional;Yakima Air Terminal;Marquette County;Lewiston-Nez Perce County;Tri-Cities;Walla Walla Regional;Bert Mooney;Billings Logan Intl;Gallatin Field;Eastern Oregon Regional At Pen;Portland Intl;Mcnary Fld;Minneapolis-St Paul Intl/Wold-;Bangor Intl;Central Wisconsin;Cherry Capital;Austin Straubel Intll;Burlington Intl;Outagamie County;Roberts Field;Mahlon Sweet Field;Rapid City Regional;Wittman Regional;Rochester Intll;La Crosse Muni;Portland Intl Jetport;Jackson Hole;Joe Foss Field;Boise Air Terminal /Gowen Fld/;Mbs Intll;Fanning Field;Friedman Memorial;North Bend Muni;Muskegon County;Oneida County;Dane County Regional-Truax Fie;Greater Rochester Intl;Syracuse Hancock Intl;Bishop Intll;General Mitchell Intll;Greater Buffalo Intl;Manchester;Pocatello Regional;Natrona County Intl;Kent County Intl;Capital City;Albany County;Waterloo Muni;Tompkins County;Twin Falls-Sun Valley Regional;Detroit City;Sioux Gateway;Dubuque Regional;Rogue Valley Intl- M;General Edward Lawrence Logan;Worcester Muni;Kalamazoo/Battle Creek Interna;Detroit Metropolitan Wayne Cou;Binghamton Regional/Edwin A Li;Greater Rockford;Elmira/Corning Regional;Klamath Falls Intll;Erie Intl;Chicago O'hare Intl;Bradley Intl;Cedar Rapids Muni;William B. Heilig Field;Merrill C Meigs;Chicago Midway;Jack Mc Namara Field;Theodore Francis Green State;Michiana Rgnl Transportation C;Toledo Express;Des Moines Intl;Stewart Int'l;Quad-City;Cleveland-Hopkins Intl;Wilkes-Barre/Scranton Intl;Eppley Airfield;Tweed-New Haven;Youngstown-Warren Regional;Westchester County;Fort Wayne Intll;Arcata;Akron-Canton Regional;Lincoln Muni;University Park;Elko Muni-J.C. Harris Field;Long Island Mac Arthur;Salt Lake City Intl;Burlington Regional;La Guardia;Newark Intl;Greater Peoria Regional;Lehigh Valley Intll;John F Kennedy Intl;Redding Muni;Pittsburgh Intll;Yampa Valley;Bloomington/Normal;Purdue University;Mercer County;Harrisburg Intll;University Of Illinois-Willard;Port Columbus Intl;Quincy Muni Baldwin Field;James M Cox Dayton Intl;Philadelphia Intl;Capital;Decatur;Chico Muni;Stapleton Intl;Indianapolis Intl;Eagle County Regional;Reno/Tahoe Intll;Atlantic City Intll;Hulman Regional;Kansas City Intl;Aspen-Pitkin Co/Sardy Field;Baltimore-Washington Intl;Walker Field;Cincinnati/Northern Kentucky I;Washington Dulles Intl;Lake Tahoe;Washington National;Columbia Regional;City Of Colorado Springs Muni;Lambert-St Louis Intl;Sacramento Metropolitan;Gunnison County;Sonoma County;Yeager;Tri-State/Milton J.Ferguson Fi;Pueblo Memorial;Louisville Intl;Charlottesville-Albemarle;Evansville Regional;Blue Grass;Stockton Metropolitan;Greenbrier Valley;Williamson County Regional;Forney Aaf;Metropolitan Oakland Intl;Wichita Mid-Continent;Modesto City-County--Harry Sha;Mammoth Lakes;San Francisco Intl;Richmond Intll;San Jose Intll;Roanoke Regional/Woodrum Field;Merced Municipal/Macready Fiel;Springfield Regional;Cape Girardeau Regional;Durango-La Plata County;Joplin Regional;Newport News/Williamsburg Inte;Barkley Regional;Norfolk Intl;Fresno Air Terminal;Monterey Peninsula;Tri-Cities Regional Tn/Va;Tulsa Intl;Nashville Intll;Piedmont Triad Intll;Mc Carran Intl;Drake Field;Raleigh-Durham Intll;Mc Ghee Tyson;Asheville Regional;Meadows Field;Will Rogers World;Fort Smith Regional;Kinston Regional Jetport At St;San Luis Obispo County-Mc Ches;Amarillo Intl;Charlotte/Douglas Intl;Flagstaff Pulliam;Memphis Intl;Albuquerque Intl;Lovell Field;Fayetteville Regional/Grannis;Santa Maria Pub/Capt G Allan H;Greenville-Spartanburg;Albert J Ellis;Adams Field;Huntsville Intl-Carl T Jones F;Lawton Muni;Santa Barbara Muni;New Hanover Intll;Oxnard;Burbank-Glendale-Pasadena;Ontario Intl;Sheppard Afb/Wichita Falls Mun;Los Angeles Intl;Columbia Metropolitan;Palm Springs Regional;Long Beach /Daugherty Field/;Myrtle Beach Intl;John Wayne Airport-Orange Coun;Lubbock Intl;The William B Hartsfield Atlan;Birmingham Intl;Texarkana Regional-Webb Field;Phoenix Sky Harbor Intl;Bush Field;Charleston Afb/Intl;Dallas/Fort Worth Intl;Dallas Love Field;San Diego Intl-Lindbergh Fld;Yuma Mcas/Yuma Intl;Columbus Metropolitan;Monroe Regional;Shreveport Regional;Abilene Regional;Gregg County;Tyler Pounds Field;Jackson Intll;Dannelly Field;Savannah Intll;Tucson Intl;Midland Intll;El Paso Intl;Waco Regional;Alexandria Esler Regional;Mathis Field;Killeen Muni;Mobile Regional;Easterwood Field;Baton Rouge Metropolitan, Ryan;Jacksonville Intl;Eglin Afb;Pensacola Regional;Tallahassee Regional;Robert Mueller Muni;Panama City-Bay Co Intl;Lafayette Regional;Lake Charles Regional;New Orleans Intl/Moisant Fld/;Houston Intercontinental;Jefferson County;Gainesville Regional;William P Hobby;San Antonio Intl;Daytona Beach Intl;Orlando Intl;Melbourne Intll;Tampa Intl;St Petersburg/Clearwater Intl;Corpus Christi Intl;Laredo Intl;Sarasota/Bradenton Intl;Palm Beach Intl;Southwest Florida Intl;Rio Grande Valley Intl;Mc Allen Miller Intl;Fort Lauderdale/Hollywood Intl;Miami Intl;Lihue;Honolulu Intl;Molokai;Kapalua;Kahului;Lanai;Keahole-Kona Intll;Hilo Intll;Rafael Hernandez;Luis Munoz Marin Intl;Cyril E King;Eugenio Maria De Hostos;Mercedita;Alexander Hamilton;Johnston Atoll;Saipan Intl;Rota Intl;Guam Intll;Babelthuap/Koror;Pago Pago Intl;West Tinian
Wiley Post-Will Rogers Mem;0;0.0436;0;0.0767;0;0;0;0.1026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deadhorse;0;0;0;0.0515;0;0;0;0.0866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ralph Wien Memorial;0;0;0;0;0.0269;0;0;0.0843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fairbanks Intl;0;0;0;0;0;0;0;0.0365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nome;0;0;0;0;0;0;0;0.0849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St Mary's;0;0;0;0;0;0;0.0197;0.0683;0;0;0;0;0.0143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aniak;0;0;0;0;0;0;0;0.0488;0;0;0;0;0.014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anchorage Intl;0;0;0;0;0;0;0;0;0;0;0;0;0.0604;0;0;0.0239;0;0;0;0;0;0;0.0478;0.0414;0;0.083;0.0351;0.1099;0;0.0596;0;0;0;0.0774;0.0863;0.1093;0.1999;0.1622;0;0;0;0;0;0;0;0;0.1926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.204;0;0.3284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3847;0;0;0;0;0;0.3655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tuluksak;0;0;0;0;0;0;0;0;0;0.0030;0.0022;0.0037;0.0053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Akiachak;0;0;0;0;0;0;0;0;0;0;0.0011;0.0010;0.0023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
