Id,Label,tooltip,Degree
112,112,"ABE(lngx=-75.440278,laty=40.652222)",4
4,4,"ABQ(lngx=-106.609167,laty=35.040278)",8
140,140,"ABR(lngx=-98.433333,laty=45.45)",2
7,7,"ACV(lngx=-124.1,laty=40.983333)",3
5,5,"AEX(lngx=-92.548611,laty=31.3275)",3
29,29,"AGS(lngx=-81.966667,laty=33.366667)",1
2,2,"ALB(lngx=-73.8,laty=42.733333)",10
224,224,"ALO(lngx=-92.383333,laty=42.55)",4
222,222,"ALW(lngx=-118.3,laty=46.1)",1
6,6,"APN(lngx=-83.55,laty=45.083333)",2
80,80,"ATL(lngx=-84.428056,laty=33.636667)",112
164,164,"ATW(lngx=-88.516667,laty=44.266667)",10
225,225,"ATY(lngx=-97.15,laty=44.916667)",2
9,9,"AUS(lngx=-97.67,laty=30.194444)",18
8,8,"AVL(lngx=-82.541667,laty=35.436111)",6
228,228,"AVP(lngx=-75.723333,laty=41.338333)",3
104,104,"AZO(lngx=-85.551944,laty=42.235)",10
25,25,"BDL(lngx=-72.683333,laty=41.938889)",13
73,73,"BGM(lngx=-75.979722,laty=42.208611)",1
12,12,"BGR(lngx=-68.816667,laty=44.8)",4
19,19,"BHM(lngx=-86.75,laty=33.566667)",11
18,18,"BIL(lngx=-108.533333,laty=45.8)",13
21,21,"BIS(lngx=-100.75,laty=46.783333)",8
16,16,"BJI(lngx=-94.933333,laty=47.516667)",1
15,15,"BLI(lngx=-122.533333,laty=48.8)",1
32,32,"BMI(lngx=-88.915833,laty=40.477222)",3
152,152,"BNA(lngx=-86.678056,laty=36.124444)",20
24,24,"BOI(lngx=-116.222778,laty=43.564444)",13
115,115,"BOS(lngx=-71.0,laty=42.363056)",17
100,100,"BPT(lngx=-94.1,laty=30.083333)",1
26,26,"BRD(lngx=-94.135556,laty=46.401667)",3
17,17,"BTM(lngx=-112.4975,laty=45.954722)",2
190,190,"BTR(lngx=-91.15,laty=30.533333)",7
28,28,"BTV(lngx=-73.153333,laty=44.471944)",6
27,27,"BUF(lngx=-78.732222,laty=42.940556)",10
23,23,"BUR(lngx=-118.35,laty=34.2)",2
11,11,"BWI(lngx=-76.668333,laty=39.175278)",18
68,68,"BZN(lngx=-111.153056,laty=45.7775)",9
131,131,"CAE(lngx=-81.116667,laty=33.95)",8
1,1,"CAK(lngx=-81.442222,laty=40.916111)",5
122,122,"CHA(lngx=-85.203889,laty=35.035278)",6
3,3,"CHO(lngx=-78.45,laty=38.133333)",2
34,34,"CHS(lngx=-80.040556,laty=32.898611)",8
31,31,"CID(lngx=-91.710833,laty=41.884722)",6
38,38,"CIU(lngx=-84.466667,laty=46.25)",3
84,84,"CLE(lngx=-81.85,laty=41.416667)",61
35,35,"CLT(lngx=-80.933333,laty=35.216667)",18
