Id,Label,value,In-Degree,Out-Degree,Degree
0.0,agreeable,0.0,3,0,3
1.0,man,1.0,13,1,14
2.0,old,0.0,31,2,33
3.0,person,1.0,7,2,9
4.0,anything,1.0,2,0,2
5.0,short,0.0,6,1,7
6.0,arm,1.0,5,1,6
7.0,round,0.0,10,1,11
8.0,aunt,1.0,1,0,1
9.0,first,0.0,13,4,17
10.0,bad,0.0,3,1,4
11.0,air,1.0,5,2,7
12.0,boy,1.0,8,2,10
13.0,beautiful,0.0,6,0,6
14.0,black,0.0,9,3,12
15.0,face,1.0,10,2,12
16.0,letter,1.0,1,2,3
17.0,little,0.0,40,9,49
18.0,young,0.0,10,4,14
19.0,best,0.0,8,1,9
20.0,course,1.0,4,1,5
21.0,friend,1.0,5,5,10
22.0,love,1.0,2,3,5
23.0,part,1.0,6,2,8
24.0,room,1.0,11,4,15
25.0,thing,1.0,9,5,14
26.0,time,1.0,7,4,11
27.0,way,1.0,11,4,15
28.0,better,0.0,10,3,13
29.0,heart,1.0,3,2,5
30.0,mind,1.0,4,2,6
31.0,place,1.0,9,3,12
32.0,right,0.0,4,6,10
33.0,state,1.0,4,1,5
34.0,woman,1.0,3,4,7
35.0,word,1.0,4,2,6
36.0,door,1.0,3,4,7
37.0,eye,1.0,7,3,10
38.0,bright,0.0,5,4,9
39.0,evening,1.0,2,3,5
40.0,morning,1.0,1,3,4
41.0,certain,0.0,2,6,8
42.0,day,1.0,4,3,7
43.0,other,0.0,12,16,28
44.0,child,1.0,3,4,7
45.0,happy,0.0,2,4,6
46.0,common,0.0,1,2,3
47.0,dark,0.0,2,3,5
48.0,kind,0.0,4,6,10
49.0,night,1.0,3,2,5
50.0,dear,0.0,7,8,15
51.0,good,0.0,8,20,28
52.0,home,1.0,1,6,7
53.0,mother,1.0,4,2,6
54.0,pretty,0.0,5,8,13
55.0,open,0.0,1,2,3
56.0,early,0.0,0,4,4
57.0,fire,1.0,1,2,3
58.0,full,0.0,0,2,2
59.0,great,0.0,5,8,13
60.0,master,1.0,3,2,5
61.0,moment,1.0,1,1,2
62.0,work,1.0,1,1,2
63.0,general,0.0,2,3,5
64.0,fancy,0.0,0,1,1
65.0,voice,1.0,3,3,6
66.0,head,1.0,3,4,7
67.0,hope,1.0,2,2,4
68.0,long,0.0,4,8,12
69.0,greater,0.0,0,2,2
70.0,hand,1.0,4,8,12
71.0,hard,0.0,1,5,6
72.0,red,0.0,2,5,7
73.0,life,1.0,2,5,7
74.0,glad,0.0,0,1,1
75.0,large,0.0,2,8,10
76.0,new,0.0,3,9,12
77.0,white,0.0,0,3,3
78.0,late,0.0,1,2,3
79.0,whole,0.0,4,9,13
80.0,light,0.0,2,6,8
81.0,manner,1.0,3,3,6
82.0,bed,1.0,0,1,1
83.0,house,1.0,1,4,5
84.0,low,0.0,1,5,6
85.0,money,1.0,0,2,2
86.0,ready,0.0,0,2,2
87.0,small,0.0,0,10,10
88.0,strange,0.0,1,5,6
89.0,thought,1.0,2,5,7
90.0,lost,0.0,0,1,1
91.0,alone,0.0,0,1,1
92.0,nothing,1.0,2,4,6
93.0,miserable,0.0,0,2,2
94.0,natural,0.0,0,3,3
95.0,half,1.0,0,1,1
96.0,wrong,0.0,1,2,3
97.0,name,1.0,0,1,1
98.0,pleasant,0.0,0,5,5
99.0,possible,0.0,0,2,2
100.0,side,1.0,1,2,3
101.0,perfect,0.0,0,2,2
102.0,poor,0.0,0,10,10
103.0,quiet,0.0,1,8,9
104.0,same,0.0,1,20,21
105.0,strong,0.0,1,6,7
106.0,something,1.0,0,6,6
107.0,true,0.0,0,2,2
108.0,usual,0.0,0,4,4
109.0,family,1.0,0,1,1
110.0,world,1.0,0,2,2
111.0,year,1.0,0,1,1
