Id,Label,value,Degree
0.0,BrighamYoung,7.0,12
1.0,FloridaState,0.0,12
2.0,Iowa,2.0,12
3.0,KansasState,3.0,12
4.0,NewMexico,7.0,11
5.0,TexasTech,3.0,12
6.0,PennState,2.0,12
7.0,SouthernCalifornia,8.0,12
8.0,ArizonaState,8.0,11
9.0,SanDiegoState,7.0,11
10.0,Baylor,3.0,10
11.0,NorthTexas,10.0,10
12.0,NorthernIllinois,6.0,10
13.0,Northwestern,2.0,11
14.0,WesternMichigan,6.0,10
15.0,Wisconsin,2.0,12
16.0,Wyoming,7.0,11
17.0,Auburn,9.0,11
18.0,Akron,6.0,11
19.0,VirginiaTech,1.0,11
20.0,Alabama,9.0,11
21.0,UCLA,8.0,11
22.0,Arizona,8.0,11
23.0,Utah,7.0,11
24.0,ArkansasState,10.0,10
25.0,NorthCarolinaState,0.0,11
26.0,BallState,6.0,10
27.0,Florida,9.0,11
28.0,BoiseState,11.0,9
29.0,BostonCollege,1.0,11
30.0,WestVirginia,1.0,11
31.0,BowlingGreenState,6.0,11
32.0,Michigan,2.0,11
33.0,Virginia,0.0,10
34.0,Buffalo,6.0,11
35.0,Syracuse,1.0,11
36.0,CentralFlorida,5.0,8
37.0,GeorgiaTech,0.0,11
38.0,CentralMichigan,6.0,11
39.0,Purdue,2.0,11
40.0,Colorado,3.0,11
41.0,ColoradoState,7.0,10
42.0,Connecticut,5.0,7
43.0,EasternMichigan,6.0,11
44.0,EastCarolina,4.0,11
45.0,Duke,0.0,11
46.0,FresnoState,11.0,11
47.0,OhioState,2.0,11
48.0,Houston,4.0,11
49.0,Rice,11.0,11
50.0,Idaho,10.0,9
51.0,Washington,8.0,11
52.0,Kansas,3.0,10
53.0,SouthernMethodist,11.0,12
54.0,Kent,6.0,10
55.0,Pittsburgh,1.0,11
56.0,Kentucky,9.0,10
57.0,Louisville,4.0,10
58.0,LouisianaTech,11.0,10
59.0,LouisianaMonroe,10.0,8
60.0,Minnesota,2.0,11
61.0,MiamiOhio,6.0,11
62.0,Vanderbilt,9.0,11
63.0,MiddleTennesseeState,10.0,9
64.0,Illinois,2.0,11
65.0,MississippiState,9.0,11
66.0,Memphis,4.0,11
67.0,Nevada,11.0,12
68.0,Oregon,8.0,11
69.0,NewMexicoState,10.0,11
70.0,SouthCarolina,9.0,11
71.0,Ohio,6.0,10
72.0,IowaState,3.0,11
73.0,SanJoseState,11.0,11
74.0,Nebraska,3.0,11
75.0,SouthernMississippi,4.0,10
76.0,Tennessee,9.0,11
77.0,Stanford,8.0,11
78.0,WashingtonState,8.0,11
79.0,Temple,1.0,11
80.0,Navy,5.0,11
81.0,TexasA&M,3.0,11
82.0,NotreDame,5.0,11
83.0,TexasElPaso,11.0,11
84.0,Oklahoma,3.0,11
85.0,Toledo,6.0,9
86.0,Tulane,4.0,11
87.0,Mississippi,9.0,11
88.0,Tulsa,11.0,12
89.0,NorthCarolina,0.0,11
90.0,UtahState,5.0,9
91.0,Army,4.0,11
92.0,Cincinnati,4.0,11
93.0,AirForce,7.0,10
94.0,Rutgers,1.0,10
95.0,Georgia,9.0,10
96.0,LouisianaState,9.0,10
97.0,LouisianaLafayette,10.0,8
98.0,Texas,3.0,11
99.0,Marshall,6.0,10
100.0,MichiganState,2.0,11
101.0,MiamiFlorida,1.0,10
102.0,Missouri,3.0,10
103.0,Clemson,0.0,10
104.0,NevadaLasVegas,7.0,12
105.0,WakeForest,0.0,10
106.0,Indiana,2.0,11
107.0,OklahomaState,3.0,10
108.0,OregonState,8.0,10
109.0,Maryland,0.0,11
110.0,TexasChristian,4.0,11
111.0,California,8.0,11
112.0,AlabamaBirmingham,4.0,10
113.0,Arkansas,9.0,10
114.0,Hawaii,11.0,11
